FIPS_tract_id,PTRAF_score,PTSDF_score,PRMP_score,PWDIS_score,PNPL_score,PTRAF_rank,PTSDF_rank,PRMP_rank,PWDIS_rank,PNPL_rank
08041003400,416.7830635998362,0.11245888939669328,0.17080807004422502,0.00028309794460185724,0.01697255510252033,0.5668534827862289,0.2962369895916733,0.2922337870296237,0.3034427542033627,0.2698158526821457
08041003701,189.0770933077286,0.5739650763010393,0.07176658085873217,0.2140248080849511,0.020001825986271017,0.3634907926341073,0.677341873498799,0.12409927942353884,0.899119295436349,0.32345876701361087
08041003702,86.44035766510449,0.4931193882719497,0.28618258345400294,0.104069139644734,0.014924713060549991,0.2233787029623699,0.644515612489992,0.4795836669335468,0.8310648518815053,0.14011208967173738
08041003705,276.1238679289073,0.4792409840527633,0.3788061650655726,0.5048858148180364,0.014946119492337148,0.44595676541232987,0.6357085668534828,0.55564451561249,0.9479583666933546,0.1433146517213771
08041003706,294.5640103807268,0.9161865115277441,0.22307825078547028,0.11778818155752706,0.015072351237146696,0.46517213771016813,0.7638110488390712,0.40192153722978385,0.8502802241793435,0.1521216973578863
08041003707,60.80016363996147,0.49578238778907857,0.40671505337152336,0.0,0.01532173094788373,0.18254603682946358,0.6453162530024019,0.5748598879103283,0.04843875100080064,0.17694155324259409
08041003708,367.0365432122153,1.0872302971043628,0.3949729549446322,0.0,0.015658217904239144,0.5212169735788631,0.7966373098478783,0.5708566853482786,0.04843875100080064,0.20176140912730184
08041003709,586.0547032514853,1.8417043560030215,0.4850984119832828,0.10494949921406885,0.015466968733895085,0.6797437950360288,0.8855084067253803,0.6204963971176941,0.8318654923939152,0.18254603682946358
08041003801,1.4262891070675814,0.11246895127161143,0.6766798572072039,0.08228459893629445,0.0159740555862004,0.04483586869495596,0.2978382706164932,0.7189751801441153,0.7974379503602882,0.22177742193755004
08041003802,0.0,0.136083212569,0.454598627927,0.0,0.0168541076016,0.011609287429943955,0.33306645316253003,0.6044835868694955,0.04843875100080064,0.2658126501200961
08041003902,56.43470090349139,0.0749648294643169,0.04678932791332051,3.0194994411504714,0.013678450989985403,0.17614091273018415,0.23138510808646917,0.08086469175340272,0.9871897518014412,0.0944755804643715
08041003905,932.2708038924538,0.16654496189752915,0.14630016389911252,0.1371596161906287,0.014418505740634333,0.8302642113690952,0.3835068054443555,0.23058446757405926,0.8622898318654924,0.1176941553242594
08041003906,413.21467993800724,0.13000928631644956,0.11798568854840367,0.0287252698349828,0.014509232307867426,0.5644515612489992,0.32506004803843075,0.1745396317053643,0.6829463570856685,0.1200960768614892
08041003909,28.516459669256022,0.03407277566450054,0.02740620731883221,0.0,0.013711082781720603,0.12249799839871897,0.15292233787029624,0.041633306645316254,0.04843875100080064,0.09527622097678143
08041004008,31.0801213603,0.61880606482,0.439181661453,0.07854381603289999,0.0154654396178,0.12730184147317855,0.6917534027221778,0.5948759007205765,0.7918334667734187,0.18174539631705364
08041004009,1596.53056704,2.30427147273,0.8666000399339999,0.0284390854394,0.0171297991153,0.9183346677341874,0.9191353082465973,0.7742193755004003,0.6797437950360288,0.27622097678142515
08041004100,346.0884517131051,1.7712372676623254,0.35811054155121136,0.1418767862940238,0.01749155187152696,0.5060048038430744,0.8799039231385108,0.5412329863891113,0.8686949559647719,0.28262610088070456
08041004200,186.23305681702902,1.3857459587282095,0.2441996289609874,0.11583391509255739,0.017419965125513366,0.3586869495596477,0.8374699759807847,0.4307445956765412,0.8462770216172938,0.28182546036829464
08041004300,162.1356936786167,0.8135130704458098,0.18499106987933017,0.1755259079187767,0.017793195880222677,0.32906325060048036,0.7405924739791834,0.33066453162530024,0.8847077662129704,0.28823058446757405
08041004401,264.67106515318244,0.3874195062520786,0.19852099971172382,0.00504084159191601,0.019247457871196475,0.4355484387510008,0.5964771817453963,0.355484387510008,0.5036028823058447,0.31385108086469177
08041004402,20.089128020203493,0.5262323779572599,0.21337996867850562,0.04419792232753873,0.01876676068196225,0.09607686148919135,0.6565252201761409,0.3843074459567654,0.7293835068054444,0.3066453162530024
08041004403,12.582631518900001,0.0924681523709,0.09898764855,0.011830623829700002,0.0222791083732,0.07766212970376302,0.2570056044835869,0.14971977582065651,0.5828662930344275,0.33706965572457964
08041004501,1135.8782297617192,1.8012604945406216,0.8836960746693406,2.3200085662734966,0.017807184939944216,0.8710968775020016,0.8823058446757406,0.7790232185748599,0.9847878302642114,0.289031224979984
08041004502,188.30168322510866,2.1198501627926167,0.32358889508361166,0.0372459441689671,0.017021516471020598,0.3610888710968775,0.9071257005604484,0.5092073658927142,0.7133706965572458,0.27381905524419536
08041004503,168.96969964799507,0.15858163659348956,0.11307039894441126,0.03165498257952571,0.018856634850022303,0.33626901521216973,0.36989591673338673,0.16493194555644516,0.6957566052842273,0.3098478783026421
08041004506,228.57088844807998,0.3258573878302453,0.1371310535265362,0.15370369731792677,0.018393689700884452,0.4011208967173739,0.5684547638110489,0.20736589271417133,0.8742994395516414,0.3010408326661329
08041004507,102.1755206320782,0.2128044561609399,0.12258364918876405,0.09812227972092838,0.01850517873664235,0.24179343474779824,0.4699759807846277,0.18174539631705364,0.8246597277822257,0.3034427542033627
08041004508,664.3436510699685,0.17136576953255372,0.18327972571722387,1.2302943902139891,0.019654478674976286,0.7253803042433947,0.3915132105684548,0.32586068855084066,0.9711769415532426,0.31945556445156126
08041004510,41.8011103080276,0.12460227082989406,0.1460414349307133,0.09582098058578614,0.019691862640879413,0.14971977582065651,0.3146517213771017,0.22898318654923938,0.8206565252201762,0.3210568454763811
08041004511,137.67274322749046,0.08711977686917384,0.35606041141761446,0.3757142828428528,0.022594319266747456,0.29063250600480384,0.2522017614091273,0.5396317053642914,0.9343474779823859,0.3378702962369896
08041004601,0.9151456512631546,0.066296679827861,0.0478588346147494,0.10895285967045794,0.013836197763983019,0.03763010408326661,0.2153722978382706,0.08326661329063251,0.8358686949559647,0.09847878302642114
08041004602,0.00411340644440265,0.02930977833582016,0.029363385279281406,0.0007099221858757787,0.016012200140832978,0.024819855884707767,0.14091273018414732,0.045636509207365894,0.35948759007205766,0.22578062449959968
08041004603,36.56710257194663,0.10112406757585482,0.09205235724598244,0.023035029372510476,0.016981970207058716,0.13931144915932747,0.27301841473178545,0.14251401120896717,0.6573258606885508,0.2714171337069656
