NAME,state,FIPS_tract_id,lead_score,lead_rank,oil_score,oil_rank,chem_score,chem_rank,hazw_score,hazw_rank,cln_score,cln_rank,wat_score,wat_rank,traf_score,traf_rank,ozn_score,ozn_rank,pm25_score,pm25_rank,county,dsl_score,dsl_rank,txcs_score,txcs_rank,hbrd_score,hbrd_rank,nohs_score,nohs_rank,total_pop,liso_score,liso_rank,unem_score,unem_rank,poc_score,poc_rank,pov_score,pov_rank,asth_score,asth_rank,hd_score,hd_rank,lbw_score,lbw_rank,missing_values,enef_score,enef_rank,expo_score,expo_rank,sef_score,sef_rank,spop_score,spop_rank,pltn_score,pltn_rank,pop_score,pop_rank,fin_score,fin_rank
"Census Tract 13.01, Denver County, Colorado",08,08031001301,0.41366438356164387,94.96753246753246,1.0,12.5,2.7209157214862323,96.70921985815603,2.5495919539918637,92.9645390070922,0.5764306859233553,98.24113475177305,0.011242043687504383,54.18611889200125,809.3192753303781,79.05035971223022,52.9039111111,68.05444355484389,7.42085409836,69.89591673338671, Denver County,0.5285369910000001,93.72128637059724,0.504087341161484,89.74751338944147,0.14414414414414414,62.6802374893978,35.3,97.55592377796188,5428.0,25.5,97.09251101321586,4.2,48.48615916955018,79.2,97.77867528271406,44.87723832379546,84.24045491470349,7.6,1.8548387096774193,1.7,16.008064516129032,4.77,13.609467455621301,0,74.92809082942581,97.03525641025641,80.09390395209991,92.55404323458767,81.30566027459054,89.43548387096774,10.490790227142584,0.6451612903225806,78.37196624454187,96.07686148919136,45.89822525086656,41.29032258064516,45.28879194466105,80.08064516129032
"Census Tract 13.02, Denver County, Colorado",08,08031001302,0.3448635743519782,90.25974025974025,1.0,12.5,3.369996469316885,98.29787234042553,3.283011087735032,96.85106382978724,0.730452260747565,98.86524822695036,0.053863093079395935,72.95362589480237,296.88754072754926,42.84892086330935,52.7635954248,65.25220176140913,7.51616256831,72.1377101681345, Denver County,0.562349075,95.02297090352221,0.516823703846013,91.27773527161438,0.16173285198555956,71.16200169635285,27.599999999999994,94.69759734879868,4076.0,20.7,94.8898678414097,,,71.8,94.87075928917609,50.147203140333666,88.87083671811536,8.0,10.0,2.0,25.766129032258068,4.75,13.398140321217245,2,78.28792509195095,99.59935897435898,73.3079077935979,81.34507606084867,88.89821257877053,96.20967741935483,16.38808978449177,2.338709677419355,74.9679135597156,93.91513210568455,52.64315118163115,59.51612903225807,49.68798699705473,86.12903225806451
"Census Tract 14.02, Denver County, Colorado",08,08031001402,0.3070761356365963,87.01298701298701,0.0,0.0,1.9818604789432364,93.65957446808511,2.806367963562265,94.22695035460993,0.2796951430320757,92.04255319148936,0.008020492035630183,50.093370681605975,474.92967801912835,59.23741007194244,53.063554902,71.65732586068854,7.33163715847,67.09367493995197, Denver County,0.404431452,84.22664624808576,0.468718478551869,85.6159143075746,0.17421602787456447,77.09923664122137,37.0,98.4258492129246,4945.0,23.5,96.16740088105726,1.8,10.726643598615917,77.7,97.17285945072697,55.594333812358855,93.4199837530463,8.6,36.693548387096776,1.5,11.169354838709678,6.5,42.223161453930686,0,69.5059059514629,93.91025641025641,73.56619428564866,81.90552441953562,78.83532892293208,87.74193548387098,30.02868822657905,15.564516129032258,72.21276484092009,90.55244195356285,54.432008574755564,64.11290322580645,49.4882884713306,85.96774193548387
"Census Tract 17.02, Denver County, Colorado",08,08031001702,0.1836568714752152,71.75324675324676,0.0,0.0,1.699196422220409,90.48226950354609,3.342114286808181,97.177304964539,0.5292145752093199,97.48936170212767,1.2606991076261855,96.90320572673514,2858.0366252295544,98.02877697841727,52.0649424837,45.39631705364292,7.82688060109,81.02481985588472, Denver County,0.703327631,98.7748851454824,0.586523477956446,97.55164498852334,0.17515274949083504,77.60814249363868,4.900000000000006,42.874896437448214,4253.0,0.4,5.594713656387666,6.7,78.97923875432527,26.299999999999997,53.7156704361874,31.60453808752026,63.52558895207149,9.0,60.927419354838705,1.3,6.733870967741935,14.12,98.9010989010989,0,75.63423144169911,97.75641025641025,84.15528880439012,97.19775820656525,53.71637512167646,58.9516129032258,55.52079640789318,62.983870967741936,81.31493635015978,98.71897518014411,54.61858576478482,64.43548387096774,55.91713064081552,92.1774193548387
"Census Tract 18, Denver County, Colorado",08,08031001800,0.23342810278840898,78.57142857142857,0.0,0.0,2.330312715249166,95.07801418439716,3.985410852306707,98.7659574468085,0.5212542873181958,97.26241134751773,1.3047215537233672,97.05882352941177,3895.294341185874,99.20863309352518,52.3200267974,53.16253002401922,7.72818989071,78.22257806244995, Denver County,0.652864193,97.47320061255743,0.553253493575749,95.10328997704667,0.16023738872403562,70.82273112807464,17.900000000000006,86.66114333057166,3457.0,12.2,85.55066079295153,5.7,70.15570934256056,52.8,83.76413570274637,48.94551845342707,87.73354995938261,9.2,74.19354838709677,1.4,8.870967741935484,5.11,18.005071851225697,0,77.7894391799273,99.03846153846155,84.63404635391969,98.23859087269817,80.78132170938123,89.11290322580645,33.689862660085986,20.161290322580644,82.35251062925556,99.43955164131305,57.235592184733605,69.6774193548387,59.34404220866631,94.83870967741936
"Census Tract 21, Denver County, Colorado",08,08031002100,0.42662107553621387,96.02272727272727,0.0,0.0,2.7689780833359943,96.85106382978724,3.915004953207405,98.58156028368793,0.8872700672165581,99.26241134751773,0.20100834000252554,87.9240585122938,1399.183983317705,89.75539568345324,52.5393888889,59.72778222578062,7.63106803279,75.26020816653323, Denver County,0.621772413,96.63093415007657,0.546390462644885,94.26166794185157,0.17032967032967034,75.74215436810857,10.799999999999997,71.58243579121789,6613.0,6.7,71.40969162995596,1.3,4.6280276816609,33.5,65.83198707592892,22.259186450929985,44.35418359057677,8.7,41.4516129032258,1.7,16.008064516129032,7.57,60.73541842772612,0,79.77363687433566,100.0,83.12719763353905,95.91673338670937,55.5914133562415,61.7741935483871,39.39836528236032,29.919354838709676,82.00934404713793,99.19935948759007,47.49488931930091,46.20967741935484,49.0393063629335,85.08064516129032
"Census Tract 27.03, Denver County, Colorado",08,08031002703,0.37859074925615366,92.4512987012987,0.0,0.0,1.5989580323026598,89.20567375886525,2.714317912114258,93.68794326241134,0.5287106137800022,97.40425531914893,0.15958600462189748,85.79209461562402,896.6836480535319,81.28057553956835,52.0982620915,46.11689351481185,7.84113606557,81.42514011208966, Denver County,0.6945282209999999,98.54517611026033,0.564122685189988,96.02142310635043,0.1692524682651622,75.06361323155217,2.200000000000003,17.315658657829328,5129.0,0.8,11.497797356828194,5.8,71.23702422145328,21.700000000000003,42.32633279483037,34.4316630922207,69.86190089358246,9.2,74.19354838709677,1.0,2.9838709677419355,12.07,97.33727810650888,0,76.42354427622472,98.07692307692307,80.67784167661613,93.51481184947959,47.883721192679296,50.32258064516129,58.17156582044919,66.45161290322581,79.25974254315231,96.95756605284227,53.027643506564246,60.564516129032256,52.91625319040263,89.6774193548387
"Census Tract 28.01, Denver County, Colorado",08,08031002801,0.37028555111364936,91.80194805194806,0.0,0.0,1.7775584184126156,91.57446808510639,2.8927176855153567,94.78014184397163,0.4040642902707524,95.29078014184397,0.7900801671043841,95.20697167755992,3082.487139255213,98.53237410071942,52.2806418301,52.2017614091273,7.77088797814,79.34347477982386, Denver County,0.622613061,96.70750382848392,0.549941411221744,94.64422341239481,0.1289308176100629,53.604749787955896,3.700000000000003,33.01574150787076,2733.0,0.4,5.594713656387666,1.0,2.422145328719723,16.299999999999997,26.575121163166397,17.52652762532016,32.2502030869212,9.4,82.58064516129032,1.6,13.508064516129032,5.31,20.92138630600169,0,78.109051633405,99.43910256410257,84.28586750610987,97.51801441152922,25.577112421836944,15.887096774193548,39.00336532780702,28.951612903225804,82.22692888187491,99.35948759007206,32.29023887482198,14.596774193548386,33.42869542515908,62.17741935483871
"Census Tract 26.01, Denver County, Colorado",08,08031002601,0.29101310662415875,85.79545454545455,0.0,0.0,1.6617012952026178,90.0,3.440519030309313,97.60283687943262,0.5381142003552726,97.88652482269504,0.15836505536735826,85.69872393401805,2620.544465427865,97.51079136690647,52.0219934641,43.87510008006405,7.85722103825,81.66533226581265, Denver County,0.7469584709999999,99.77029096477796,0.585768345259244,97.47513389441468,0.17117117117117117,76.16624257845632,5.799999999999997,48.67439933719967,3518.0,3.7,55.4625550660793,7.9,87.32698961937716,25.900000000000006,52.786752827140546,33.342808413871516,67.34362307067425,8.9,53.104838709677416,1.6,13.508064516129032,10.81,93.4065934065934,0,76.16392336360005,97.99679487179486,84.05932971439516,96.79743795036029,64.62676041648787,73.54838709677419,53.339832210799955,59.67741935483871,81.42752759746345,98.79903923138511,58.98329631364391,72.41935483870968,60.469223062003294,95.4032258064516
"Census Tract 70.89, Denver County, Colorado",08,08031007089,0.13500756811301717,64.12337662337663,0.0,0.0,0.13846679003983614,19.70212765957447,0.30322499036653017,52.95035460992907,0.09751193708586174,62.255319148936174,0.009184656984245506,52.27201991907874,760.0680690013327,76.15827338129496,52.25969542479999,51.64131305044035,7.828909016389999,81.1048839071257, Denver County,0.409592291,84.6094946401225,0.44557303925064,80.56618209640398,0.09745762711864407,31.552162849872772,5.599999999999994,47.55592377796189,5080.0,6.1,69.95594713656388,1.2,3.6764705882352944,26.0,53.02907915993538,41.59448818897638,79.85377741673436,9.1,68.26612903225806,5.6,96.93548387096774,8.65,75.40152155536771,0,41.88386632681584,48.79807692307692,74.8160294150775,84.30744595676542,47.60389348821727,49.75806451612903,80.20104481953116,95.08064516129032,63.83864171899028,78.8630904723779,63.902469153874215,81.7741935483871,51.36122553713181,88.2258064516129
"Census Tract 28.03, Denver County, Colorado",08,08031002803,0.23389485913447575,78.65259740259741,0.0,0.0,1.927583622842969,93.14893617021276,2.9879629501073,95.50354609929079,0.4078826683906842,95.47517730496455,1.6359266104241637,97.43230625583567,1777.450599364348,93.33812949640287,52.4069823529,55.88470776621297,7.71986830601,78.06244995996798, Denver County,0.609407012,96.09494640122512,0.541104713986966,93.95562356541699,0.15294117647058825,67.85411365564038,0.9000000000000057,4.59817729908865,4721.0,3.0,48.28193832599119,3.7,40.22491349480969,17.599999999999994,30.129240710823908,19.572124549883497,37.44922826969943,9.0,60.927419354838705,2.0,25.766129032258068,5.96,31.741335587489434,0,76.7020938721502,98.4775641025641,83.46717143784518,96.31705364291433,38.089601959342204,34.435483870967744,39.4782946581954,30.08064516129032,81.21214558261352,98.63891112890312,38.7839483087688,26.048387096774196,39.655835496454856,71.53225806451613
"Census Tract 55.02, Denver County, Colorado",08,08031005502,0.0572,40.58441558441558,0.0,0.0,1.3389389836,85.13475177304964,0.592560994621,66.78014184397163,0.117843913388,70.7517730496454,0.000227191796191,21.008403361344538,680.052679286,71.88489208633094,53.677209150299994,81.98558847077662,6.796649453550001,54.52361889511609, Denver County,0.35524720299999996,78.48392036753445,0.41337051986814,71.30833970925784,0.11228070175438597,42.11195928753181,16.099999999999994,84.34134217067108,2131.0,1.9,31.762114537444937,4.1,47.015570934256054,40.3,73.82875605815832,26.70738478622987,53.29000812347685,8.8,46.61290322580645,2.1,29.677419354838708,9.56,85.92561284868977,0,47.37658093540447,61.458333333333336,71.63727190580319,77.42193755004003,55.391625185256515,61.45161290322581,54.071978476444976,60.967741935483865,63.55037491567028,78.22257806244995,54.73180183085074,64.75806451612904,43.79171598028781,78.38709677419354
"Census Tract 70.88, Denver County, Colorado",08,08031007088,0.03894358197652404,29.301948051948052,0.0,0.0,0.13159907148716335,18.22695035460993,0.39560653686322494,57.97163120567376,0.0999405822494515,63.957446808510646,0.08962559735351806,78.78929349517585,1067.640167341118,85.36690647482015,52.3011777778,52.76220976781425,7.811982786889999,80.70456365092073, Denver County,0.433640953,87.28943338437979,0.453687045698672,82.70849273144606,0.15711252653927812,69.63528413910093,7.099999999999994,55.426677713338854,5162.0,9.3,79.38325991189427,1.1,3.027681660899654,49.6,81.94668820678514,37.91283955442642,75.2233956133225,9.5,85.3225806451613,2.7,50.7258064516129,5.79,28.064243448858832,0,41.374544985986375,47.67628205128205,77.7663212018762,89.35148118494796,60.773831207556896,68.87096774193549,54.70421018187768,61.854838709677416,65.63572912991292,81.98558847077662,57.73902069471728,70.24193548387096,47.71378048434208,83.54838709677419
"Census Tract 120.01, Denver County, Colorado",08,08031012001,0.06983068783068783,47.48376623376623,0.0,0.0,1.2756701700595459,84.35460992907802,0.2157848738705203,45.71631205673759,0.11099654374810122,68.72340425531915,0.00016671789295189592,19.59228135698724,1138.206111152961,86.34532374100719,53.8325823529,85.18815052041633,6.645473224040001,51.24099279423538, Denver County,0.263971762,68.60643185298622,0.349821167768385,59.21958684009181,0.07262569832402235,13.231552162849871,4.0,35.5840927920464,2040.0,2.5,41.76211453744493,0.6,0.8217993079584774,31.5,63.2875605815832,17.401960784313726,32.08773354995939,8.4,27.379032258064516,3.8,83.18548387096774,11.88,97.0414201183432,0,44.31172897198138,54.08653846153846,70.12009714974738,74.61969575660528,31.12914215530704,23.14516129032258,69.20197874912515,84.67741935483872,61.51730775715871,73.41873498799039,50.16556045221609,52.5,38.85412113587871,69.75806451612904
"Census Tract 32.01, Denver County, Colorado",08,08031003201,0.3743615850302697,92.20779220779221,0.0,0.0,1.568788602229109,88.822695035461,2.505224727571807,92.76595744680851,0.4866222370688969,96.53900709219857,0.12140733874262866,82.85091814503579,895.8224098719052,81.15107913669065,52.0877745098,45.796637309847874,7.86673060109,81.82546036829463, Denver County,0.6549837,97.77947932618683,0.550578182357842,94.72073450650345,0.15944272445820434,70.56827820186598,1.0,5.675227837613918,5678.0,0.4,5.594713656387666,3.8,42.04152249134948,14.099999999999994,19.668820678513733,24.233885170834803,48.00974817221771,8.8,46.61290322580645,1.9,22.217741935483872,9.15,81.82586644125107,0,75.53106165454935,97.67628205128204,80.2546781295047,92.71417133706964,31.926385172991417,24.112903225806452,50.21883720084713,52.33870967741936,78.68013930451959,96.39711769415533,41.072611186919275,30.56451612903226,40.68661268159965,73.14516129032258
"Census Tract 38, Denver County, Colorado",08,08031003800,0.08463921901528014,53.49025974025974,0.0,0.0,0.4946743135225053,60.9645390070922,1.6338403062845575,85.90070921985816,0.20088395568517198,86.80851063829788,0.3961120212484237,92.77933395580455,1774.3672664509538,93.12230215827338,52.2334823529,50.36028823058447,7.8303136612,81.18494795836669, Denver County,0.504469168,91.96018376722817,0.50754291972636,90.1300688599847,0.15319662243667068,67.93893129770993,4.0,35.5840927920464,6989.0,2.1,35.19823788546256,5.2,63.581314878892734,15.5,23.990306946688207,14.351123193589926,23.55808285946385,8.9,53.104838709677416,3.6,78.83064516129032,9.09,81.2764158918005,0,63.32389209355208,87.66025641025641,81.35155819488747,94.4755804643715,41.641827776710606,40.0,71.07063325425608,87.41935483870968,75.342336161109,94.39551641313051,56.35623051548335,68.46774193548387,53.45829703311986,90.40322580645162
"Census Tract 40.02, Denver County, Colorado",08,08031004002,0.31873867595818817,87.98701298701299,0.0,0.0,0.3357366681694234,50.87943262411348,1.0257273429463467,76.8936170212766,0.13141112407307481,74.56737588652483,2.852756253156628,98.3348895113601,491.5945466017167,60.38848920863309,52.9325673203,68.77502001601282,7.41282431694,69.49559647718175, Denver County,0.508614262,92.34303215926492,0.484259792083552,87.60520275439939,0.0711743772241993,12.213740458015266,2.5,21.04391052195526,3453.0,2.4,39.95594713656387,0.0,0.0,18.299999999999997,32.067851373182556,11.497248769186214,15.922014622258326,8.7,41.4516129032258,3.7,81.33064516129032,2.14,0.422654268808115,0,64.77705467171467,89.66346153846155,75.72146812309839,86.22898318654923,20.20057735199588,9.35483870967742,41.068304111108084,32.74193548387097,72.07333030597049,90.31224979983988,30.634440731551983,12.096774193548388,27.798326193382767,50.483870967741936
"Census Tract 40.04, Denver County, Colorado",08,08031004004,0.1867924528301887,72.48376623376623,0.0,0.0,0.142764859066,20.624113475177307,0.297944402793,52.56737588652483,0.09508329253260002,61.24822695035461,0.0316463822418,66.8222844693433,3874.10441615,99.16546762589928,52.9075503268,68.37469975980784,7.35024071038,67.97437950360288, Denver County,0.495677999,91.57733537519142,0.483504132668599,87.2991583779648,0.09655172413793103,30.95843935538592,5.700000000000003,48.09444904722452,1967.0,2.8,45.72687224669604,1.5,6.660899653979238,15.700000000000003,24.717285945072696,15.443425076452598,26.888708367181152,8.9,53.104838709677416,3.3,70.56451612903226,4.65,12.1301775147929,0,45.62429450252771,56.97115384615385,82.87820812849324,95.5164131305044,30.507775769256597,22.5,45.26651078450086,40.88709677419355,70.46023691983807,88.07045636509207,37.88714327687873,25.0,33.610119763837446,62.41935483870967
"Census Tract 42.01, Denver County, Colorado",08,08031004201,0.5981662591687043,99.83766233766234,0.0,0.0,1.7339777617652672,90.90780141843972,2.116916103857953,90.11347517730496,0.23942214708255197,90.34042553191489,0.0,0.0,800.4860833865312,78.23021582733813,51.9238084967,40.75260208166534,8.04890765027,86.6293034427542, Denver County,0.525482892,93.41500765696784,0.511939871549226,90.74215761285387,0.14463840399002495,63.06191687871077,4.099999999999994,36.536868268434134,4809.0,2.9,47.180616740088105,1.8,10.726643598615917,19.799999999999997,37.07592891760905,12.037617554858935,17.059301380991066,9.1,68.26612903225806,2.9,57.943548387096776,5.0,16.44125105663567,0,61.866560744220315,85.8173076923077,77.95385732431588,89.51160928742993,35.273545964074835,29.758064516129036,47.55030949199684,45.725806451612904,72.5914251309507,91.1929543634908,41.411927728035835,31.61290322580645,37.84816868005284,68.79032258064515
